ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside
img77,model-generated,201,1.0,0.18333333333333332,0.7333333333333333,0.3171875,0.62734375,0,0,0,0,0
img49,model-generated,201,1.0,0.2611111111111111,0.9972222222222222,0.16328125,0.603125,0,0,0,0,0
img83,model-generated,201,1.0,0.1875,0.7638888888888888,0.28984375,0.6140625,0,0,0,0,0
img132,model-generated,201,1.0,0.51328125,0.64921875,0.38472222222222224,0.6236111111111111,0,0,0,0,0
img55,model-generated,201,1.0,0.10416666666666667,0.9486111111111111,0.18671875,0.66015625,0,0,0,0,0
img87,model-generated,201,1.0,0.5375,0.72578125,0.38333333333333336,0.7083333333333334,0,0,0,0,0
img9,model-generated,201,1.0,0.2765625,0.9984375,0.0,0.9416666666666667,0,0,0,0,0
img73,model-generated,201,1.0,0.001388888888888889,0.9972222222222222,0.23671875,0.93515625,0,0,0,0,0
img101,model-generated,201,1.0,0.56328125,0.67265625,0.5166666666666667,0.7111111111111111,0,0,0,0,0
img114,model-generated,201,1.0,0.40859375,0.46015625,0.725,0.8291666666666667,0,0,0,0,0
img153,model-generated,201,1.0,0.290625,0.4671875,0.4708333333333333,0.775,0,0,0,0,0
img76,model-generated,201,1.0,0.002777777777777778,0.8902777777777777,0.2296875,0.8015625,0,0,0,0,0
img35,model-generated,201,1.0,0.546875,0.64140625,0.25972222222222224,0.425,0,0,0,0,0
img98,model-generated,201,1.0,0.45546875,0.55546875,0.45416666666666666,0.6333333333333333,0,0,0,0,0
img62,model-generated,201,1.0,0.25972222222222224,0.8805555555555555,0.3796875,0.7296875,0,0,0,0,0
img168,model-generated,201,1.0,0.31875,0.55,0.2791666666666667,0.6833333333333333,0,0,0,0,0
img3,model-generated,201,1.0,0.56328125,0.65859375,0.20694444444444443,0.375,0,0,0,0,0
img99,model-generated,201,1.0,0.51796875,0.5921875,0.41805555555555557,0.5513888888888889,0,0,0,0,0
img59,model-generated,201,1.0,0.25972222222222224,0.7305555555555555,0.28828125,0.55546875,0,0,0,0,0
img107,model-generated,201,1.0,0.453125,0.52734375,0.31666666666666665,0.4513888888888889,0,0,0,0,0
img127,model-generated,201,1.0,0.48984375,0.62109375,0.375,0.6055555555555555,0,0,0,0,0
img145,model-generated,201,1.0,0.51953125,0.64921875,0.3402777777777778,0.5708333333333333,0,0,0,0,0
img129,model-generated,201,1.0,0.496875,0.65,0.3625,0.6333333333333333,0,0,0,0,0
img19,model-generated,201,1.0,0.41015625,0.75859375,0.5013888888888889,0.9958333333333333,0,0,0,0,0
img75,model-generated,201,1.0,0.1527777777777778,0.65,0.25234375,0.534375,0,0,0,0,0
img64,model-generated,201,1.0,0.1736111111111111,0.7263888888888889,0.3359375,0.646875,0,0,0,0,0
img147,model-generated,201,1.0,0.39375,0.44140625,0.39166666666666666,0.4777777777777778,0,0,0,0,0
img116,model-generated,201,1.0,0.384375,0.58984375,0.32083333333333336,0.6847222222222222,0,0,0,0,0
